published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
11/1/2021,413,413,405,406,0.25,90725,36987705.8,1
11/2/2021,412,412,405,408,0.49,38314,15576515,1
11/3/2021,410,410,404.8,404.8,-0.78,63025,25592944.5,-1
11/8/2021,406,406,400,400,-1.19,56228,22564564.1,-1
11/9/2021,397.1,399,385,390,-2.5,113804,44480031,-1
11/11/2021,385,390,380,383,-1.79,60551,23234490,-1
11/14/2021,390.5,390.5,380,384,0.26,45599,17479662.3,1
11/15/2021,385,390,382.2,386,0.52,35600,13727723.5,1
11/16/2021,386,404.9,381,401,3.89,71340,28078828,1
11/17/2021,405,407.8,395,396,-1.25,39497,15748745.7,-1
11/18/2021,398,400,386,389,-1.77,46042,18013910.3,-1
11/21/2021,393,394.9,384,384,-1.29,40428,15673914.8,-1
11/22/2021,385,388.4,383,387.9,1.02,36330,14006050.9,1
11/23/2021,387.9,387.9,381.1,381.9,-1.55,41575,15909734.2,-1
11/24/2021,381.9,381.9,373,377,-1.28,59461,22345154,-1
11/25/2021,378.5,382,373,375.1,-0.5,43608,16434884.4,-1
11/28/2021,373.1,375,360,361,-3.76,71149,26032973.1,-1
11/29/2021,359,366,355,357,-1.11,94402,33945856.8,-1
11/30/2021,362,362.5,355,359,0.56,48904,17486073,1
12/1/2021,361,365,358,360,0.28,31431,11325518.2,1
12/2/2021,360,365,357,357,-0.83,38037,13652152.9,-1
12/5/2021,352,358,350,350,-1.96,59627,20963020.8,-1
12/6/2021,353.9,354,340,351,0.29,54999,19200470.7,1
12/7/2021,358,359,350,350,-0.28,37126,13128118,-1
12/8/2021,357,357,342,344,-1.71,34025,11732509.6,-1
12/9/2021,341,345,335,339,-1.45,35942,12226114.2,-1
12/12/2021,338,338,327,327,-3.54,43009,14274325.5,-1
12/13/2021,326,326,319,322.2,-1.47,45060,14518121.6,-1
12/14/2021,328,345,324.2,341,5.83,16643,5571544.9,1
12/15/2021,347.8,355,330.1,340,-0.29,53525,18327577.3,-1
12/16/2021,340,340,333,335.1,-1.44,20844,6998876.2,-1
12/20/2021,341.8,341.8,328,332,-0.93,40645,13473360,-1
12/21/2021,338,340,332,337,1.51,17326,5845402.9,1
12/22/2021,340,349,340,347.5,3.12,24319,8426401.5,1
12/23/2021,347,353,344.1,350,0.72,37310,13066461.5,1
12/26/2021,355,362,348.5,358,2.29,53556,19125145.5,1
12/27/2021,355,363,355,356,-0.56,63171,22589549.7,-1
12/28/2021,355,355,338.2,352,-1.12,36901,12875470.3,-1
12/29/2021,355,356,350,354,0.57,40088,14203816.4,1
1/2/2022,354,365,354,363,2.54,53951,19459574.5,1
NA,367.9,377,366,372,2.48,55415,20542391.9,1
